id|description|url
1|Market Analysis & Customer Understanding – Understanding Your Customers: A free short course introducing key marketing concepts and customer behavior insights.|https://www.open.edu/openlearn/money-business/understanding-your-customers/
2|Market Analysis & Customer Understanding – Market Research and Competitive Analysis: An up-to-date guide on conducting market research and competitive analysis for your business.|https://www.sba.gov/business-guide/plan-your-business/market-research-competitive-analysis
3|Market Analysis & Customer Understanding – Understanding Your Customer Through Market Research: A free recorded webinar demonstrating how to identify your target market and gauge demand through market research.|https://www.mainesbdc.org/understanding-your-customer-through-market-research/
4|Creating & Testing Business Ideas – How to Validate Business Ideas: A recorded webinar by Alex Osterwalder that demonstrates the process to validate business ideas using lean startup techniques.|https://www.strategyzer.com/library/webinar-replay-how-to-validate-business-ideas
5|Making a Business Plan – Write Your Business Plan: A step-by-step guide on writing an effective business plan, including both traditional and lean startup approaches.|https://www.sba.gov/business-guide/plan-your-business/write-your-business-plan
6|Making a Business Plan – Small Business: The Business Plan: A free online course that walks you through creating a comprehensive business plan covering mission, market research, and funding options.|https://alison.com/course/small-business-the-business-plan
7|Running a Business – Learn with Start Up Loans: A collection of free short courses covering essential topics in running a small business, including digital skills and bookkeeping.|https://www.open.edu/openlearn/startuploans
8|Running a Business – My Own Business Institute Courses: Free, self-paced courses on starting, managing, and growing a business with practical exercises and quizzes.|https://www.scu.edu/mobi/
9|Branding & Marketing – Inbound Marketing Certification: A free course with certification covering the fundamentals of inbound marketing, including content, SEO, social media, and email marketing.|https://academy.hubspot.com/courses/inbound-marketing
10|Sales & Customer Service – Inbound Sales Certification: A free online course focusing on an inbound approach to sales, teaching how to identify and engage potential buyers effectively.|https://academy.hubspot.com/courses/inbound-sales
11|Google Analytics for Beginners – Google Analytics Academy: Learn how to use Google Analytics to interpret customer behavior and market trends online.|https://support.google.com/analytics/answer/15068052#zippy=,get-started-using-google-analytics-introduction,go-further-with-advanced-features-in-google-analytics-advanced,answer-business-questions-with-google-analytics-intermediate,use-google-analytics-for-your-business-beginner
12|Introduction to Market Research – Alison: A free, self-paced online course offering an overview of market research techniques and tools.|https://alison.com/courses
13|Testing Your Business Idea – Y Combinator Startup School: A collection of free video lessons and articles that guide you through the process of testing and refining your business idea using real market data and customer input.|https://www.startupschool.org/
14|SCORE – Business Plan Template for Beginners: SCORE provides a free downloadable business plan template along with detailed instructions and examples, making it easier for new entrepreneurs to organize their ideas and strategy.|https://www.score.org/northflorida/resource/template/business-plan-template
15|Shopify – How to Build a Brand: A Beginner's Guide: A concise online guide that outlines the steps to create a strong brand identity, offering practical advice and clear examples tailored for small business owners.|https://www.shopify.com/blog/what-is-branding
